file: GoPro_G21_无辅助_搭子.m4a
***********************************result**************************************

[0:0.280,0:3.530,0]  新新开始吧。
[0:4.360,0:5.480,1]  需要不。
[0:5.980,0:7.340,0]  他们只是看不到任务。
[4:28.630,4:31.970,0]  你们可以稍微讨论一下，不用。
[4:32.740,4:34.560,0]  不想，我怕你们快睡着了。
[4:41.630,4:44.220,1]  我们是要有这个论据，是。
[4:46.840,4:49.875,1]  有有有一些，有有有一些就行。
[4:49.875,4:56.510,0]  不用太不用太太过去太学术太太，这本来是一个比较轻松的话题。
[5:6.920,5:15.510,0]  我真的是下手机就是么几天哦，没下一下没有怀我吓死我还有奇关苹果。
[5:23.360,5:23.760,0]  嗯。
[7:26.890,7:28.190,0]  你这边那个。
[7:29.370,7:29.920,0]  计时。
[7:31.200,7:36.310,0]  你可以往中间滚一点点，把倒计时放下来，你可能要看一下这个屏幕。
[7:37.250,7:39.360,0]  好像跟你那个不太一样。
[7:41.940,7:44.530,0]  也可以再再往下滚一点也可以。
[7:48.520,7:54.870,0]  好，可以尽量让他们多看一些内容，但是那个倒计时不能不能不能看不懂啊这样。
[7:55.320,7:55.720,0]  对。
[8:45.280,8:52.070,0]  朋友们，你们可以就给我多一点数据，可以讨论一下，主要主要是以讨论为主吧。
[8:53.300,8:54.750,1]  你现在有什么成果吗？
[8:55.610,8:57.090,1]  你现在有什么成果吗？
[8:57.720,9:1.960,0]  现在就分析他的会做的那种心理的，看他展的活动这种。
[9:3.090,9:4.570,0]  为什么需要大神？
[9:8.380,9:9.060,1]  我说的。
[9:9.900,9:11.390,1]  因为大家都不就是朋友吗？
[9:11.680,9:13.670,1]  为什么，为什么就这个人就菜？
[9:16.270,9:18.650,1]  为什么会发展出来打这个呢？
[9:20.080,9:20.480,1]  对。
[9:21.810,9:24.070,1]  就咱城里人嘛，不是要打扫。
[9:26.280,9:34.150,0]  因为他好像是轻社交，就是不一定要是很好通的，只是有一个兴趣爱好相同，就可以一起去做一个事情。
[9:35.180,9:39.490,0]  那后面和我其他感情那朋友。
[9:40.180,9:41.800,0]  我要比这个要高级点。
[9:41.800,9:44.670,1]  然我觉得要更更深的东西。
[9:44.750,9:45.840,0]  更深层一点。
[9:48.180,9:48.580,1]  啊。
[9:50.850,9:51.250,1]  呃。
[9:53.210,9:54.240,1]  我又知道了。
[9:55.690,9:56.330,0]  闺蜜。
[9:56.650,9:57.230,1]  闺蜜。
[10:6.240,10:7.150,1]  那所以就是。
[10:10.330,10:11.570,1]  大致就是。
[10:13.960,10:23.630,1]  没有出现之前，归属于朋友这个概念，然后只不过是后来由朋友这个概念细分出来的一个。
[10:25.140,10:28.730,1]  一个小费的时候，一个一个朋友之前的一个介绍。
[10:29.460,10:32.630,0]  那我觉得不算，但他不一定要成为，
[10:33.880,10:34.280,0]  嗯。
[10:35.660,10:58.585,0]  就可能因为我身边很多大伙，但是就是因为有一个兴趣爱好，或者是可以干一件事情，出去吃个饭，然后之后就把这件事情干完，这件事情结束之后，然后就没有任何情感，或者是上面的一个联系，就纯属于在干这件事情的时候会有联系之外，这件事情以外是没有任何联系的。
[10:58.585,10:59.580,1]  是一个阶段性的。
[10:59.960,11:2.280,0]  呃，是就这件事情而言的，对。
[11:3.390,11:4.300,1]  那我们的。
[11:5.220,11:7.880,1]  有些朋友也是随着时间。
